year,state,code,value
1963,New Jersey,NJ,2.8
1963,New Mexico,NM,5.6
1963,North Carolina,NC,8.2
1963,North Dakota,ND,2.1
1963,Ohio,OH,3.0
1963,Oklahoma,OK,5.2
1963,Oregon,OR,3.0
1963,Pennsylvania,PA,2.3
1963,Rhode Island,RI,1.4
1963,South Carolina,SC,10.0
1963,South Dakota,SD,1.2
1963,Tennessee,TN,6.5
1963,Texas,TX,7.4
1963,Utah,UT,2.4
1963,Vermont,VT,0.5
1963,Virginia,VA,7.1
1963,Washington,WA,2.5
1963,West Virginia,WV,5.3
1963,Wisconsin,WI,1.7
1963,Wyoming,WY,3.6
1964,Alabama,AL,9.3
1964,Alaska,AK,10.4
1964,Arizona,AZ,5.2
1964,Arkansas,AR,7.6
1964,California,CA,4.1
1964,Colorado,CO,4.2
1964,Connecticut,CT,1.8
1964,Delaware,DE,4.7
1964,District of Columbia,DC,16.3
1964,Florida,FL,8.6
1964,Georgia,GA,11.7
1964,Hawaii,HI,2.1
1964,Idaho,ID,4.0
1964,Illinois,IL,5.5
1964,Indiana,IN,3.0
1964,Iowa,IA,1.3
1964,Kansas,KS,3.4
1964,Kentucky,KY,5.2
1964,Louisiana,LA,8.3
1964,Maine,ME,1.5
1964,Maryland,MD,6.7
1964,Massachusetts,MA,2.0
1964,Michigan,MI,3.5
1964,Minnesota,MN,1.4
1964,Mississippi,MS,10.1
1964,Missouri,MO,5.4
1964,Montana,MT,2.7
1964,Nebraska,NE,2.3
1964,Nevada,NV,7.8
1964,New Hampshire,NH,0.9
1964,New Jersey,NJ,3.1
1964,New Mexico,NM,5.6
1964,North Carolina,NC,8.0
1964,North Dakota,ND,0.9
1964,Ohio,OH,3.5
1964,Oklahoma,OK,4.5
1964,Oregon,OR,1.8
1964,Pennsylvania,PA,3.4
1964,Rhode Island,RI,1.2
1964,South Carolina,SC,8.1
1964,South Dakota,SD,1.3
1964,Tennessee,TN,5.9
1964,Texas,TX,7.6
1964,Utah,UT,1.5
1964,Vermont,VT,0.5
1964,Virginia,VA,8.4
1964,Washington,WA,2.4
1964,West Virginia,WV,3.7
1964,Wisconsin,WI,1.5
1964,Wyoming,WY,5.5
1965,Alabama,AL,11.4
1965,Alaska,AK,6.3
1965,Arizona,AZ,5.0
1965,Arkansas,AR,5.9
1965,California,CA,4.7
1965,Colorado,CO,3.5
1965,Connecticut,CT,1.6
1965,Delaware,DE,5.7
1965,District of Columbia,DC,18.4
1965,Florida,FL,8.9
1965,Georgia,GA,11.3
1965,Hawaii,HI,3.2
1965,Idaho,ID,2.0
1965,Illinois,IL,5.2
1965,Indiana,IN,3.5
1965,Iowa,IA,1.3
1965,Kansas,KS,2.7
1965,Kentucky,KY,5.3
1965,Louisiana,LA,8.1
1965,Maine,ME,2.1
1965,Maryland,MD,6.7
1965,Massachusetts,MA,2.4
1965,Michigan,MI,4.6
1965,Minnesota,MN,1.4
1965,Mississippi,MS,8.9
1965,Missouri,MO,6.7
1965,Montana,MT,1.7
1965,Nebraska,NE,2.4
1965,Nevada,NV,8.4
1965,New Hampshire,NH,2.7
1965,New Jersey,NJ,3.2
1965,New Mexico,NM,6.3
1965,New York,NY,4.6
1965,North Carolina,NC,8.3
1965,North Dakota,ND,0.9
1965,Ohio,OH,3.6
1965,Oklahoma,OK,4.4
1965,Oregon,OR,3.4
1965,Pennsylvania,PA,3.6
1965,Rhode Island,RI,2.1
1965,South Carolina,SC,9.6
1965,South Dakota,SD,1.6
1965,Tennessee,TN,8.0
1965,Texas,TX,7.5
1965,Utah,UT,1.5
1965,Vermont,VT,0.5
1965,Virginia,VA,8.2
1965,Washington,WA,2.2
1965,West Virginia,WV,4.0
1965,Wisconsin,WI,1.5
1965,Wyoming,WY,2.9
1966,Alabama,AL,10.9
1966,Alaska,AK,12.9
1966,Arizona,AZ,6.1
1966,Arkansas,AR,7.1
1966,California,CA,4.6
1966,Colorado,CO,4.0
1966,Connecticut,CT,2.0
1966,Delaware,DE,9.0
1966,District of Columbia,DC,17.5
1966,Florida,FL,10.3
1966,Georgia,GA,11.3
1966,Hawaii,HI,2.9
1966,Idaho,ID,3.0
1966,Illinois,IL,6.9
1966,Indiana,IN,4.0
1966,Iowa,IA,1.6
1966,Kansas,KS,3.5
1966,Kentucky,KY,7.0
1966,Louisiana,LA,9.9
1966,Maine,ME,2.2
1966,Maryland,MD,7.0
1966,Massachusetts,MA,2.4
1966,Michigan,MI,5.0
1966,Minnesota,MN,2.2
1966,Mississippi,MS,9.7
1966,Missouri,MO,5.4
1966,Montana,MT,2.8
1966,Nebraska,NE,1.8
1966,Nevada,NV,10.6
1966,New Hampshire,NH,1.9
1966,New Jersey,NJ,3.5
1966,New Mexico,NM,6.3
1966,New York,NY,4.8
1966,North Carolina,NC,9.2
1966,North Dakota,ND,1.8
1966,Ohio,OH,4.5
1966,Oklahoma,OK,5.5
1966,Oregon,OR,2.7
1966,Pennsylvania,PA,3.3
1966,Rhode Island,RI,1.4
1966,South Carolina,SC,11.6
1966,South Dakota,SD,1.5
1966,Tennessee,TN,7.8
1966,Texas,TX,9.1
1966,Utah,UT,2.0
1966,Vermont,VT,1.5
1966,Virginia,VA,8.1
1966,Washington,WA,2.5
1966,West Virginia,WV,4.2
1966,Wisconsin,WI,1.9
1966,Wyoming,WY,4.9
1967,Alabama,AL,11.7
1967,Alaska,AK,9.6
1967,Arizona,AZ,5.6
1967,Arkansas,AR,8.8
1967,California,CA,5.4
1967,Colorado,CO,4.1
1967,Connecticut,CT,2.4
1967,Delaware,DE,8.6
1967,District of Columbia,DC,22.0
1967,Florida,FL,10.5
1967,Georgia,GA,11.1
1967,Hawaii,HI,2.4
1967,Idaho,ID,4.3
1967,Illinois,IL,7.3
1967,Indiana,IN,3.8
1967,Iowa,IA,1.5
1967,Kansas,KS,4.0
1967,Kentucky,KY,7.2
1967,Louisiana,LA,9.3
1967,Maine,ME,0.4
1967,Maryland,MD,8.0
1967,Massachusetts,MA,2.8
1967,Michigan,MI,6.5
1967,Minnesota,MN,1.6
1967,Mississippi,MS,8.7
1967,Missouri,MO,7.3
1967,Montana,MT,2.4
1967,Nebraska,NE,2.7
1967,Nevada,NV,10.8
1967,New Hampshire,NH,2.0
1967,New Jersey,NJ,3.9
1967,New Mexico,NM,6.6
1967,New York,NY,5.4
1967,North Carolina,NC,9.9
1967,North Dakota,ND,0.2
1967,Ohio,OH,5.2
1967,Oklahoma,OK,6.7
1967,Oregon,OR,3.1
1967,Pennsylvania,PA,3.9
1967,Rhode Island,RI,2.2
1967,South Carolina,SC,11.2
1967,South Dakota,SD,3.7
1967,Tennessee,TN,8.9
1967,Texas,TX,9.9
1967,Utah,UT,2.7
1967,Vermont,VT,3.1
1967,Virginia,VA,9.1
1967,Washington,WA,3.1
1967,West Virginia,WV,4.6
1967,Wisconsin,WI,1.9
1967,Wyoming,WY,4.8
1968,Alabama,AL,11.8
1968,Alaska,AK,10.5
1968,Arizona,AZ,6.3
1968,Arkansas,AR,8.1
1968,California,CA,6.0
1968,Colorado,CO,5.4
1968,Connecticut,CT,2.5
1968,Delaware,DE,8.4
1968,District of Columbia,DC,24.1
1968,Florida,FL,11.9
1968,Georgia,GA,13.9
1968,Hawaii,HI,2.8
1968,Idaho,ID,2.3
1968,Illinois,IL,8.1
1968,Indiana,IN,4.8
1968,Iowa,IA,1.7
1968,Kansas,KS,3.7
1968,Kentucky,KY,8.9
1968,Louisiana,LA,9.5
1968,Maine,ME,3.0
1968,Maryland,MD,9.3
1968,Massachusetts,MA,3.5
1968,Michigan,MI,7.7
1968,Minnesota,MN,2.2
1968,Mississippi,MS,9.9
1968,Missouri,MO,8.8
1968,Montana,MT,3.3
1968,Nebraska,NE,2.3
1968,Nevada,NV,5.5
1968,New Hampshire,NH,1.4
1968,New Jersey,NJ,5.1
1968,New Mexico,NM,6.4
1968,New York,NY,6.5
1968,North Carolina,NC,10.2
1968,North Dakota,ND,1.1
1968,Ohio,OH,5.3
1968,Oklahoma,OK,6.4
1968,Oregon,OR,3.2
1968,Pennsylvania,PA,4.1
1968,Rhode Island,RI,2.4
1968,South Carolina,SC,13.6
1968,South Dakota,SD,3.8
1968,Tennessee,TN,8.7
1968,Texas,TX,10.6
1968,Utah,UT,2.9
1968,Vermont,VT,2.6
1968,Virginia,VA,10.3
1968,Washington,WA,3.6
1968,West Virginia,WV,5.5
1968,Wisconsin,WI,2.2
1968,Wyoming,WY,6.3
1969,Alabama,AL,13.7
1969,Alaska,AK,10.6
1969,Arizona,AZ,6.0
1969,Arkansas,AR,9.9
1969,California,CA,7.1
1969,Colorado,CO,5.3
1969,Connecticut,CT,2.9
1969,Delaware,DE,8.0
1969,District of Columbia,DC,36.0
1969,Florida,FL,11.3
1969,Georgia,GA,11.9
1969,Hawaii,HI,3.4
1969,Idaho,ID,1.9
1969,Illinois,IL,8.6
1969,Indiana,IN,5.0
1969,Iowa,IA,1.4
1969,Kansas,KS,3.5
1969,Kentucky,KY,10.4
1969,Louisiana,LA,9.5
1969,Maine,ME,1.6
1969,Maryland,MD,9.3
1969,Massachusetts,MA,3.5
1969,Michigan,MI,8.8
1969,Minnesota,MN,1.9
1969,Mississippi,MS,8.1
1969,Missouri,MO,10.4
1969,Montana,MT,3.6
1969,Nebraska,NE,2.5
1969,Nevada,NV,9.0
1969,New Hampshire,NH,2.5
1969,New Jersey,NJ,5.2
1969,New Mexico,NM,6.3
1969,New York,NY,7.2
1969,North Carolina,NC,11.3
1969,North Dakota,ND,0.2
1969,Ohio,OH,6.4
1969,Oklahoma,OK,5.8
1969,Oregon,OR,4.0
1969,Pennsylvania,PA,4.1
1969,Rhode Island,RI,3.1
1969,South Carolina,SC,12.5
1969,South Dakota,SD,2.0
1969,Tennessee,TN,9.6
1969,Texas,TX,11.3
1969,Utah,UT,2.5
1969,Vermont,VT,2.5
1969,Virginia,VA,7.3
1969,Washington,WA,3.6
1969,West Virginia,WV,5.6
1969,Wisconsin,WI,2.1
1969,Wyoming,WY,10.3
1970,Alabama,AL,11.7
1970,Alaska,AK,12.2
1970,Arizona,AZ,9.5
1970,Arkansas,AR,10.1
1970,California,CA,6.9
1970,Colorado,CO,6.2
1970,Connecticut,CT,3.5
1970,Delaware,DE,7.7
1970,District of Columbia,DC,29.2
1970,Florida,FL,12.7
1970,Georgia,GA,15.3
1970,Hawaii,HI,3.6
1970,Idaho,ID,4.6
1970,Illinois,IL,9.6
1970,Indiana,IN,4.9
1970,Iowa,IA,1.9
1970,Kansas,KS,4.8
1970,Kentucky,KY,11.1
1970,Louisiana,LA,11.7
1970,Maine,ME,1.5
1970,Maryland,MD,9.2
1970,Massachusetts,MA,3.5
1970,Michigan,MI,9.4
1970,Minnesota,MN,2.0
1970,Mississippi,MS,11.5
1970,Missouri,MO,10.7
1970,Montana,MT,3.2
1970,Nebraska,NE,3.0
1970,Nevada,NV,8.8
1970,New Hampshire,NH,2.0
1970,New Jersey,NJ,5.7
1970,New Mexico,NM,9.6
1970,New York,NY,7.9
1970,North Carolina,NC,11.7
1970,North Dakota,ND,0.5
1970,Ohio,OH,6.6
1970,Oklahoma,OK,5.9
1970,Oregon,OR,4.6
1970,Pennsylvania,PA,5.4
1970,Rhode Island,RI,3.2
1970,South Carolina,SC,14.6
1970,South Dakota,SD,3.8
1970,Tennessee,TN,8.8
1970,Texas,TX,11.6
1970,Utah,UT,3.4
1970,Vermont,VT,1.3
1970,Virginia,VA,10.4
1970,Washington,WA,3.5
1970,West Virginia,WV,6.2
1970,Wisconsin,WI,2.0
1970,Wyoming,WY,5.7
1971,Alabama,AL,15.1
1971,Alaska,AK,13.4
1971,Arizona,AZ,6.7
1971,Arkansas,AR,10.5
1971,California,CA,8.1
1971,Colorado,CO,6.5
1971,Connecticut,CT,3.1
1971,Delaware,DE,6.1
1971,District of Columbia,DC,37.1
1971,Florida,FL,13.3
1971,Georgia,GA,16.0
1971,Hawaii,HI,5.3
1971,Idaho,ID,3.3
1971,Illinois,IL,9.6
1971,Indiana,IN,5.3
1971,Iowa,IA,1.8
1971,Kansas,KS,5.1
1971,Kentucky,KY,10.9
1971,Louisiana,LA,11.1
1971,Maine,ME,2.0
1971,Maryland,MD,11.2
1971,Massachusetts,MA,3.8
1971,Michigan,MI,10.5
1971,Minnesota,MN,2.4
1971,Mississippi,MS,14.7
1971,Missouri,MO,8.9
1971,Montana,MT,4.4
1971,Nebraska,NE,2.6
1971,Nevada,NV,11.4
1971,New Hampshire,NH,2.2
1971,New Jersey,NJ,5.8
1971,New Mexico,NM,12.0
1971,New York,NY,9.9
1971,North Carolina,NC,11.8
1971,North Dakota,ND,1.3
1971,Ohio,OH,7.5
1971,Oklahoma,OK,6.5
1971,Oregon,OR,3.2
1971,Pennsylvania,PA,6.2
1971,Rhode Island,RI,3.0
1971,South Carolina,SC,16.6
1971,South Dakota,SD,1.2
1971,Tennessee,TN,12.4
1971,Texas,TX,12.1
1971,Utah,UT,2.7
1971,Vermont,VT,1.1
1971,Virginia,VA,10.1
1971,Washington,WA,3.8
1971,West Virginia,WV,6.4
1971,Wisconsin,WI,2.8
1971,Wyoming,WY,5.3
1972,Alabama,AL,14.1
1972,Alaska,AK,9.5
1972,Arizona,AZ,7.3
1972,Arkansas,AR,10.4
1972,California,CA,8.8
1972,Colorado,CO,8.3
1972,Connecticut,CT,3.2
1972,Delaware,DE,6.9
1972,District of Columbia,DC,32.8
1972,Florida,FL,12.7
1972,Georgia,GA,18.5
1972,Hawaii,HI,6.8
1972,Idaho,ID,3.8
1972,Illinois,IL,8.8
1972,Indiana,IN,6.1
1972,Iowa,IA,1.7
1972,Kansas,KS,4.0
1972,Kentucky,KY,9.8
1972,Louisiana,LA,13.2
1972,Maine,ME,5.3
1972,Maryland,MD,12.5
1972,Massachusetts,MA,3.7
1972,Michigan,MI,11.0
1972,Minnesota,MN,2.4
1972,Mississippi,MS,15.4
1972,Missouri,MO,8.3
1972,Montana,MT,2.5
1972,Nebraska,NE,2.9
1972,Nevada,NV,13.5
1972,New Hampshire,NH,1.7
1972,New Jersey,NJ,6.5
1972,New Mexico,NM,11.5
1972,New York,NY,11.0
1972,North Carolina,NC,13.5
1972,North Dakota,ND,1.3
1972,Ohio,OH,7.5
1972,Oklahoma,OK,7.0
1972,Oregon,OR,5.5
1972,Pennsylvania,PA,6.0
1972,Rhode Island,RI,1.3
1972,South Carolina,SC,16.8
1972,South Dakota,SD,1.2
1972,Tennessee,TN,11.3
1972,Texas,TX,12.4
1972,Utah,UT,2.9
1972,Vermont,VT,1.7
1972,Virginia,VA,11.8
1972,Washington,WA,4.2
1972,West Virginia,WV,6.1
1972,Wisconsin,WI,2.8
1972,Wyoming,WY,4.1
1973,Alabama,AL,13.2
1973,Alaska,AK,10.0
1973,Arizona,AZ,8.1
1973,Arkansas,AR,8.8
1973,California,CA,9.0
1973,Colorado,CO,7.9
1973,Connecticut,CT,3.3
1973,Delaware,DE,5.9
1973,District of Columbia,DC,35.9
1973,Florida,FL,15.4
1973,Georgia,GA,17.4
1973,Hawaii,HI,5.3
1973,Idaho,ID,2.6
1973,Illinois,IL,10.4
1973,Indiana,IN,7.3
1973,Iowa,IA,2.2
1973,Kansas,KS,6.0
1973,Kentucky,KY,9.7
1973,Louisiana,LA,15.4
1973,Maine,ME,2.1
1973,Maryland,MD,11.3
1973,Massachusetts,MA,4.4
1973,Michigan,MI,12.1
1973,Minnesota,MN,2.7
1973,Mississippi,MS,16.1
1973,Missouri,MO,9.0
1973,Montana,MT,6.0
1973,Nebraska,NE,4.3
1973,Nevada,NV,12.2
1973,New Hampshire,NH,2.1
1973,New Jersey,NJ,7.4
1973,New Mexico,NM,11.8
1973,New York,NY,11.2
1973,North Carolina,NC,13.0
1973,North Dakota,ND,0.8
1973,Ohio,OH,7.3
1973,Oklahoma,OK,6.6
1973,Oregon,OR,4.9
1973,Pennsylvania,PA,6.3
1973,Rhode Island,RI,3.4
1973,South Carolina,SC,14.4
1973,South Dakota,SD,3.8
1973,Tennessee,TN,13.2
1973,Texas,TX,12.8
1973,Utah,UT,3.2
1973,Vermont,VT,2.2
1973,Virginia,VA,10.5
1973,Washington,WA,4.0
1973,West Virginia,WV,5.7
1973,Wisconsin,WI,2.6
1973,Wyoming,WY,6.8
1974,Alabama,AL,15.0
1974,Alaska,AK,13.6
1974,Arizona,AZ,9.6
1974,Arkansas,AR,11.2
1974,California,CA,9.5
1974,Colorado,CO,6.0
1974,Connecticut,CT,3.3
1974,Delaware,DE,10.3
1974,District of Columbia,DC,38.3
1974,Florida,FL,14.7
1974,Georgia,GA,17.8
1974,Hawaii,HI,8.3
1974,Idaho,ID,5.6
1974,Illinois,IL,11.8
1974,Indiana,IN,8.0
1974,Iowa,IA,1.9
1974,Kansas,KS,6.9
1974,Kentucky,KY,10.3
1974,Louisiana,LA,16.0
1974,Maine,ME,2.9
1974,Maryland,MD,11.7
1974,Massachusetts,MA,4.4
1974,Michigan,MI,13.0
1974,Minnesota,MN,3.0
1974,Mississippi,MS,12.9
1974,Missouri,MO,9.8
1974,Montana,MT,4.2
1974,Nebraska,NE,3.6
1974,Nevada,NV,14.8
1974,New Hampshire,NH,3.5
1974,New Jersey,NJ,6.8
1974,New Mexico,NM,11.3
1974,New York,NY,10.6
1974,North Carolina,NC,11.7
1974,North Dakota,ND,1.4
1974,Ohio,OH,8.9
1974,Oklahoma,OK,8.1
1974,Oregon,OR,5.6
1974,Pennsylvania,PA,6.7
1974,Rhode Island,RI,3.8
1974,South Carolina,SC,16.2
1974,South Dakota,SD,2.1
1974,Tennessee,TN,13.4
1974,Texas,TX,13.7
1974,Utah,UT,3.2
1974,Vermont,VT,3.4
1974,Virginia,VA,10.6
1974,Washington,WA,5.1
1974,West Virginia,WV,6.0
1974,Wisconsin,WI,3.0
1974,Wyoming,WY,5.0
1975,Alabama,AL,16.0
1975,Alaska,AK,12.2
1975,Arizona,AZ,8.6
1975,Arkansas,AR,10.1
1975,California,CA,10.4
1975,Colorado,CO,7.4
1975,Connecticut,CT,3.9
1975,Delaware,DE,7.3
1975,District of Columbia,DC,32.8
1975,Florida,FL,13.5
1975,Georgia,GA,14.4
1975,Hawaii,HI,7.7
1975,Idaho,ID,5.2
1975,Illinois,IL,10.6
1975,Indiana,IN,8.5
1975,Iowa,IA,2.5
1975,Kansas,KS,5.4
1975,Kentucky,KY,10.2
1975,Louisiana,LA,12.6
1975,Maine,ME,2.8
1975,Maryland,MD,10.7
1975,Massachusetts,MA,4.2
1975,Michigan,MI,11.9
1975,Minnesota,MN,3.3
1975,Mississippi,MS,13.9
1975,Missouri,MO,10.6
1975,Montana,MT,5.2
1975,Nebraska,NE,4.3
1975,Nevada,NV,13.0
1975,New Hampshire,NH,2.9
1975,New Jersey,NJ,6.8
1975,New Mexico,NM,13.3
1975,New York,NY,11.0
1975,North Carolina,NC,12.4
1975,North Dakota,ND,0.8
1975,Ohio,OH,8.1
1975,Oklahoma,OK,9.4
1975,Oregon,OR,6.2
1975,Pennsylvania,PA,6.8
1975,Rhode Island,RI,3.0
1975,South Carolina,SC,14.7
1975,South Dakota,SD,3.7
1975,Tennessee,TN,11.4
1975,Texas,TX,13.4
1975,Utah,UT,2.7
1975,Vermont,VT,2.1
1975,Virginia,VA,11.5
1975,Washington,WA,5.7
1975,West Virginia,WV,7.4
1975,Wisconsin,WI,3.3
1975,Wyoming,WY,10.2
1976,Alabama,AL,15.1
1976,Alaska,AK,11.3
1976,Arizona,AZ,7.8
1976,Arkansas,AR,10.1
1976,California,CA,10.3
1976,Colorado,CO,6.8
1976,Connecticut,CT,3.1
1976,Delaware,DE,6.2
1976,District of Columbia,DC,26.8
1976,Florida,FL,10.7
1976,Georgia,GA,13.9
1976,Hawaii,HI,6.2
1976,Idaho,ID,5.3
1976,Illinois,IL,10.3
1976,Indiana,IN,7.1
1976,Iowa,IA,2.3
1976,Kansas,KS,4.5
1976,Kentucky,KY,10.6
1976,Louisiana,LA,13.2
1976,Maine,ME,2.7
1976,Maryland,MD,8.5
1976,Massachusetts,MA,3.3
1976,Michigan,MI,11.1
1976,Minnesota,MN,2.3
1976,Mississippi,MS,12.5
1976,Missouri,MO,9.3
1976,Montana,MT,5.0
1976,Nebraska,NE,2.9
1976,Nevada,NV,11.5
1976,New Hampshire,NH,3.3
1976,New Jersey,NJ,5.2
1976,New Mexico,NM,9.7
1976,New York,NY,10.9
1976,North Carolina,NC,11.1
1976,North Dakota,ND,1.4
1976,Ohio,OH,7.4
1976,Oklahoma,OK,6.4
1976,Oregon,OR,4.2
1976,Pennsylvania,PA,6.1
1976,Rhode Island,RI,2.4
1976,South Carolina,SC,11.6
1976,South Dakota,SD,1.7
1976,Tennessee,TN,11.0
1976,Texas,TX,12.2
1976,Utah,UT,4.5
1976,Vermont,VT,5.5
1976,Virginia,VA,9.5
1976,Washington,WA,4.3
1976,West Virginia,WV,6.7
1976,Wisconsin,WI,3.0
1976,Wyoming,WY,6.9
1977,Alabama,AL,14.2
1977,Alaska,AK,10.8
1977,Arizona,AZ,9.5
1977,Arkansas,AR,8.8
1977,California,CA,11.5
1977,Colorado,CO,6.3
1977,Connecticut,CT,4.2
1977,Delaware,DE,6.0
1977,District of Columbia,DC,27.8
1977,Florida,FL,10.2
1977,Georgia,GA,11.7
1977,Hawaii,HI,7.2
1977,Idaho,ID,5.5
1977,Illinois,IL,9.9
1977,Indiana,IN,7.4
1977,Iowa,IA,2.3
1977,Kansas,KS,6.6
1977,Kentucky,KY,10.1
1977,Louisiana,LA,15.5
1977,Maine,ME,2.4
1977,Maryland,MD,8.0
1977,Massachusetts,MA,3.1
1977,Michigan,MI,9.3
1977,Minnesota,MN,2.7
1977,Mississippi,MS,14.3
1977,Missouri,MO,9.6
1977,Montana,MT,5.4
1977,Nebraska,NE,3.9
1977,Nevada,NV,15.8
1977,New Hampshire,NH,3.2
1977,New Jersey,NJ,5.6
1977,New Mexico,NM,8.8
1977,New York,NY,10.7
1977,North Carolina,NC,10.6
1977,North Dakota,ND,0.9
1977,Ohio,OH,7.8
1977,Oklahoma,OK,8.6
1977,Oregon,OR,4.9
1977,Pennsylvania,PA,5.6
1977,Rhode Island,RI,3.6
1977,South Carolina,SC,11.9
1977,South Dakota,SD,2.0
